Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,0.1uF,
"C10, C26, C28",0402,3,2.2uF,
C11,0402,1,0.33uF,
"C12, C13, C14, C15, C16, C17, C18, C19, C21, C23, C25, C27, C3, C4, C5, C7",0402,16,0.1uF,
C20,0402,1,4.7uF,
"C22, C24, C32",0402,3,1uF,
C29,0603,1,6.8uF,
"C30, C31, C34, C35",0402,4,3pF,
C6,0402,1,0.01uF,
"D1, D12, D2, D7, D8, D9",0603,6,W,
"D10, D11, D16, D17, D22, D23, D25, D26",0603,8,LED,
"D3, D4",0603,2,R,
D5,0603,1,B,
D6,0603,1,G,
FB1,0603,1,600Ω/500mA,
"H2_4, H2_3, H2_2, H2",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J2, J3, J4, J5, J6",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,6,Conn_01x04,
"J10, J7, J8, J9",JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,4,Conn_01x06,
"J11, J12, J13, J14, J15, J16, J17, J18, J22",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,9,Conn_01x02,
J19,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05,
"J20, J21",5x5,2,Conn_01x01,
"JP1, JP2",PinHeader_1x02_P2.54mm_Vertical,2,Jumper_2_Bridged,
"R1, R2, R4",0603,3,120,
"R10, R11, R12, R13, R14, R15, R16, R17, R19, R20, R21, R22, R23, R25, R46, R47, R54, R55, R62, R63, R67, R68, R8",0603,23,1k,
R18,0402,1,1k,
"R24, R3",0402,2,10k,
"R43, R44, R51, R52, R59, R60, R65, R66",0603,8,22k,
"R77, R78",0402,2,4.7k,
R9,0603,1,10k,
"SW1, SW2",switch_TVAF06-A020B-R,2,SW_Push,
SW4,KHS22E,1,SW_DIP_x02,
U1,SOIC-8_7.5x5.85mm_P1.27mm,1,ISO1042BQDWVQ1,
"U10, U11",SOT-363_SC-70-6,2,LM66100DCK,
U18,USB_C_Receptacle_Nelton_5077CR-16-SMC2-BK-TR,1,USB_Type-C,
U2,DFN-8-1EP_3x3mm_P0.65mm_EP1.6x2.56mm,1,MCP2562FD-H/MF,
U3,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,1,IS25LP064D-JLLE,
U4,QFN-68-1EP_8x8mm_P0.4mm_EP6.4x6.4mm,1,STM32H563RGVx,
U6,SOIC-4_4.55x2.6mm_P1.27mm,1,TLP293,
U7,SOT-89-5,1,NJM2884U1-33,
U8,RFM-0505S,1,RFM-0505S,
Y1,FC2012SN 32.768K-70NNA0KC0,1,FC2012SN 32.768K-70NNA0KC0,
Y2,XRCGB25M000FFS1AR0,1,XRCGB25M000FFS1AR0,
